Router,Closeness,Reach_raw,Reach_norm,Degree,Betweenness,CMBA
Router32,0.1853932584269663,11.877813852813857,1.0,0.1515151515151515,1.4507575757575757,0.6969164964249235
Router31,0.1736842105263158,9.968722943722945,0.7035714488338652,0.0606060606060606,0.8712121212121212,0.4522684602945906
Router29,0.171875,9.952056277056275,0.7009835805300338,0.0606060606060606,0.8181818181818182,0.4379116148294781
Router30,0.171875,9.952056277056275,0.7009835805300338,0.0606060606060606,0.8181818181818182,0.4379116148294781
Router28,0.1617647058823529,9.202056277056275,0.5845295068576238,0.0606060606060606,0.8181818181818182,0.4062705228819638
Router27,0.1586538461538461,9.16786824286824,0.5792210590548926,0.0606060606060606,0.7575757575757576,0.3890141808476392
Router26,0.1586538461538461,9.16786824286824,0.5792210590548926,0.0606060606060606,0.7575757575757576,0.3890141808476392
Router25,0.15,8.744791319791318,0.5135290174960971,0.0606060606060606,0.7575757575757576,0.3704277089194788
Router24,0.1460176991150442,8.69121989121989,0.5052108693766393,0.0606060606060606,0.6893939393939394,0.3503071421229209
Router23,0.1460176991150442,8.69121989121989,0.5052108693766393,0.0606060606060606,0.6893939393939394,0.3503071421229209
Router22,0.1386554621848739,8.412648462648463,0.4619564991554586,0.0606060606060606,0.6893939393939394,0.3376529903350831
Router20,0.1341463414634146,8.336457986457987,0.4501262440522298,0.0606060606060606,0.6136363636363636,0.3146287524395171
Router21,0.1341463414634146,8.336457986457987,0.4501262440522298,0.0606060606060606,0.6136363636363636,0.3146287524395171
Router19,0.127906976744186,8.136457986457987,0.4190718244062539,0.0606060606060606,0.6136363636363636,0.305305306348216
Router17,0.1231343283582089,8.032291319791323,0.4028976475073084,0.0606060606060606,0.5303030303030303,0.279235266693652
Router18,0.1231343283582089,8.032291319791323,0.4028976475073084,0.0606060606060606,0.5303030303030303,0.279235266693652
Router16,0.1178571428571428,7.880505605505608,0.3793295611688443,0.0606060606060606,0.5303030303030303,0.2720239487337695
Router15,0.1130136986301369,7.739329134917372,0.35740879435992,0.0606060606060606,0.4393939393939394,0.2426056232475142
Router14,0.1130136986301369,7.739329134917372,0.35740879435992,0.0606060606060606,0.4393939393939394,0.2426056232475142
Router13,0.1085526315789473,7.619581235757709,0.338815286798779,0.0606060606060606,0.4393939393939394,0.2368419795944316
Router12,0.1037735849056603,7.425136791313264,0.3086234899207467,0.0606060606060606,0.3409090909090909,0.2034780565853896
Router11,0.1037735849056603,7.425136791313264,0.3086234899207467,0.0606060606060606,0.3409090909090909,0.2034780565853896
Router10,0.1,7.327914569091042,0.2935275914817306,0.0606060606060606,0.3409090909090909,0.1987606857492205
Publisher1,0.1571428571428571,8.642965367965369,0.4977182883018273,0.0303030303030303,0.0,0.1712910439369286
Publisher2,0.1571428571428571,8.642965367965369,0.4977182883018273,0.0303030303030303,0.0,0.1712910439369286
Router8,0.0953757225433526,7.047212814705076,0.2499424411014132,0.0606060606060606,0.2348484848484848,0.1601931772748278
Router9,0.0953757225433526,7.047212814705076,0.2499424411014132,0.0606060606060606,0.2348484848484848,0.1601931772748278
Router7,0.0921787709497206,6.966511060319111,0.2374117103670721,0.0606060606060606,0.2348484848484848,0.1562612566928345
Router5,0.0877659574468085,6.516511060319112,0.1675392661636262,0.0606060606060606,0.1212121212121212,0.1092808513571541
Router6,0.0877659574468085,6.516511060319112,0.1675392661636262,0.0606060606060606,0.1212121212121212,0.1092808513571541
Router4,0.0850515463917525,6.448329242137293,0.1569525321934069,0.0606060606060606,0.1212121212121212,0.1059555651008353
Router3,0.0808823529411764,5.49594828975634,0.009074343403045,0.0303030303030303,0.0,0.0300649316618129
Router2,0.0808823529411764,5.49594828975634,0.009074343403045,0.0303030303030303,0.0,0.0300649316618129
Router1,0.0785714285714285,5.437506731314781,0.0,0.0303030303030303,0.0,0.0272186147186147
